,Valid Domains,MXRecords
239,ps11chelsea.org,mailstore1.secureserver.net.
240,brooklynrise.org,alt4.aspmx.l.google.com.
241,echemnyc.org,alt3.aspmx.l.google.com.
242,ps138m.org,alt2.aspmx.l.google.com.
243,matherhsnyc.org,alt1.aspmx.l.google.com.
244,ps142m.org,alt1.aspmx.l.google.com.
245,is143.org,aspmx3.googlemail.com.
246,ps145m.org,alt2.aspmx.l.google.com.
247,ps146.org,alt2.aspmx.l.google.com.
248,eagleharlem.org,aspmx.l.google.com.
249,yorkvillecommunityschool.org,alt1.aspmx.l.google.com.
250,ps158.org,aspmx.l.google.com.
251,x.org,gabe.freedesktop.org.
252,ps20m.org,alt2.aspmx.l.google.com.
253,ps33chelseaprep.org,alt1.aspmx.l.google.com.
254,psms34.org,alt3.aspmx.l.google.com.
255,manhattanhs.org,aspmx2.googlemail.com.
256,rivereastelementary.org,alt2.aspmx.l.google.com.
257,ps165nyc.org,mx2.dreamhost.com.
258,ps166.org,aspmx.l.google.com.
259,wagner167.org,mail.echalk.com.
260,ps40.org,mx1.mailchannels.net.
261,eastharlemscholars.org,aspmx2.googlemail.com.
262,ps41.org,smtp.google.com.
263,ps171.org,alt1.aspmx.l.google.com.
264,ps42m.org,aspmx.l.google.com.
265,47aslhs.org,47aslhs.org.
266,ms177.org,alt1.aspmx.l.google.com.
267,hugonewmanprep.org,webmail.hugonewmanprep.org.
268,ps183.org,alt3.aspmx.l.google.com.
269,lockearts.org,aspmx.l.google.com.
270,harlemhebrewcharter.org,aspmx.l.google.com.
271,187hudsoncliffs.org,aspmx5.googlemail.com.
272,theislandschool.org,alt2.aspmx.l.google.com.
273,ms54.org,alt4.aspmx.l.google.com.
274,democracyprep.org,alt1.aspmx.l.google.com.
275,lowerlab.org,alt1.aspmx.l.google.com.
276,ps192.org,alt2.aspmx.l.google.com.
277,ps198m.org,mx2.zoho.com.
278,manhattancharterschool.org,ALT1.ASPMX.L.GOOGLE.COM.
279,84web.org,aspmx2.googlemail.com.
